time,open,high,low,close,tick_volume,spread,real_volume,returns
2025-11-24 04:00:00,4044.07,4051.49,4040.55,4043.53,9117,34,0,-0.00016319708025580582
2025-11-24 05:00:00,4043.58,4058.04,4043.56,4050.3,9749,34,0,0.0016742796516904246
2025-11-24 06:00:00,4050.24,4061.06,4042.26,4043.94,9069,34,0,-0.001570254055255238
2025-11-24 07:00:00,4043.97,4049.38,4039.95,4046.18,9895,34,0,0.0005539152410767301
2025-11-24 08:00:00,4046.22,4058.02,4045.41,4053.29,9474,34,0,0.0017572129761900257
2025-11-24 09:00:00,4053.32,4067.55,4051.42,4059.88,9405,32,0,0.001625839749931579
2025-11-24 10:00:00,4059.65,4066.79,4059.61,4063.38,9342,32,0,0.0008620944461412705
2025-11-24 11:00:00,4063.08,4074.07,4062.8,4071.75,10921,32,0,0.0020598614946176763
2025-11-24 12:00:00,4071.8,4077.11,4063.17,4063.83,8663,32,0,-0.0019451095966107612
2025-11-24 13:00:00,4063.84,4071.56,4063.06,4069.92,6826,32,0,0.001498586308974481
2025-11-24 14:00:00,4069.92,4083.96,4065.66,4080.29,9061,32,0,0.0025479616306953723
2025-11-24 15:00:00,4080.34,4085.86,4075.8,4077.65,10049,32,0,-0.0006470128348720072
2025-11-24 16:00:00,4077.51,4085.95,4068.35,4081.22,16740,32,0,0.0008755042732946361
2025-11-24 17:00:00,4081.23,4093.74,4081.04,4091.65,17462,33,0,0.0025556083720064127
2025-11-24 18:00:00,4091.66,4098.37,4089.68,4098.32,7684,33,0,0.0016301492063102163
2025-11-24 19:00:00,4089.9,4100.24,4089.58,4092.9,7160,33,0,-0.0013224931191316847
2025-11-24 20:00:00,4092.95,4125.73,4088.0,4120.44,12828,33,0,0.006728725353661202
2025-11-24 21:00:00,4120.48,4124.04,4113.92,4118.42,9910,33,0,-0.0004902389065244428
2025-11-24 22:00:00,4118.48,4133.42,4117.91,4132.58,9919,33,0,0.0034382117413960245
2025-11-24 23:00:00,4132.56,4139.9,4130.01,4134.33,4244,33,0,0.0004234642765537089
2025-11-25 01:00:00,4135.43,4144.11,4125.01,4143.69,6658,35,0,0.002263970220083955
2025-11-25 02:00:00,4143.54,4144.23,4127.49,4129.45,9074,35,0,-0.0034365505141552566
2025-11-25 03:00:00,4129.6,4139.1,4122.68,4134.62,14576,35,0,0.0012519827095618385
2025-11-25 04:00:00,4134.63,4155.61,4132.93,4150.63,12361,35,0,0.003872181724076329
2025-11-25 05:00:00,4150.67,4150.77,4139.44,4143.15,11123,35,0,-0.0018021360612727744
2025-11-25 06:00:00,4143.16,4148.27,4139.41,4140.62,7772,35,0,-0.000610646488782618
2025-11-25 07:00:00,4140.98,4151.84,4140.98,4151.26,8607,35,0,0.002569663480348483
2025-11-25 08:00:00,4151.27,4151.86,4138.67,4141.63,9976,35,0,-0.0023197776096895995
2025-11-25 09:00:00,4141.56,4145.92,4129.87,4132.18,10856,33,0,-0.002281710341097587
2025-11-25 10:00:00,4132.11,4139.33,4109.54,4116.0,11828,33,0,-0.00391560871017238
2025-11-25 11:00:00,4116.14,4131.31,4113.94,4128.32,11056,33,0,0.0029931972789114525
2025-11-25 12:00:00,4128.34,4138.63,4127.38,4131.14,8806,33,0,0.0006830865824356547
2025-11-25 13:00:00,4131.13,4137.24,4127.67,4133.34,8405,33,0,0.0005325406546377032
2025-11-25 14:00:00,4133.6,4138.54,4115.6,4129.75,12790,33,0,-0.0008685469862145245
2025-11-25 15:00:00,4129.97,4150.76,4129.34,4147.67,14547,33,0,0.00433924571705302
2025-11-25 16:00:00,4147.63,4148.71,4110.99,4125.33,18574,33,0,-0.00538615656501118
2025-11-25 17:00:00,4125.37,4133.74,4117.75,4122.93,17860,33,0,-0.0005817716400868811
2025-11-25 18:00:00,4122.76,4141.3,4122.09,4136.22,13414,33,0,0.003223435760490778
2025-11-25 19:00:00,4136.2,4159.21,4135.94,4146.02,16874,33,0,0.0023693130442772325
2025-11-25 20:00:00,4146.06,4150.88,4132.79,4134.22,12649,33,0,-0.002846103009633394
2025-11-25 21:00:00,4134.31,4140.28,4128.43,4133.64,11941,33,0,-0.00014029248564417784
2025-11-25 22:00:00,4133.79,4138.45,4130.51,4132.2,9319,33,0,-0.00034836125061699086
2025-11-25 23:00:00,4132.18,4132.35,4127.43,4130.32,3775,33,0,-0.00045496345772233493
2025-11-26 01:00:00,4132.06,4136.75,4129.73,4133.64,3214,35,0,0.0008038118111914905
2025-11-26 02:00:00,4133.63,4144.21,4132.63,4142.68,6045,35,0,0.0021869345177616406
2025-11-26 03:00:00,4142.77,4152.79,4138.46,4148.25,9001,35,0,0.0013445402493070802
2025-11-26 04:00:00,4148.28,4166.47,4147.24,4161.57,10799,35,0,0.0032109925872354506
2025-11-26 05:00:00,4161.86,4169.2,4160.22,4166.02,7409,35,0,0.0010693079775183634
2025-11-26 06:00:00,4165.94,4167.06,4156.47,4161.91,5793,35,0,-0.000986553113043298
2025-11-26 07:00:00,4162.11,4168.62,4160.09,4162.33,8170,35,0,0.00010091520479771354
2025-11-26 08:00:00,4162.17,4162.78,4146.69,4149.96,9321,35,0,-0.0029718931463866838
2025-11-26 09:00:00,4149.79,4161.43,4149.12,4157.38,7536,33,0,0.0017879690406654714
2025-11-26 10:00:00,4157.37,4168.48,4154.78,4161.12,9435,33,0,0.0008996050397125366
2025-11-26 11:00:00,4160.9,4164.53,4156.48,4162.67,7761,33,0,0.0003724958664974576
2025-11-26 12:00:00,4162.71,4165.0,4155.99,4159.98,8635,33,0,-0.0006462198540841957
2025-11-26 13:00:00,4160.2,4172.89,4157.7,4171.45,8404,33,0,0.0027572247943501438
2025-11-26 14:00:00,4171.46,4173.34,4148.55,4155.07,11437,33,0,-0.0039266921574033775
2025-11-26 15:00:00,4155.04,4166.55,4149.06,4153.22,13827,32,0,-0.0004452391897127317
2025-11-26 16:00:00,4153.35,4156.83,4140.04,4142.24,16778,33,0,-0.002643731851431075
2025-11-26 17:00:00,4142.18,4165.59,4136.54,4165.29,17346,33,0,0.005564622040248768
2025-11-26 18:00:00,4165.28,4168.31,4160.57,4167.04,12959,33,0,0.00042013881386404606
